animal,dam,sire
CN06-134,CN06-122,CN06-M15
CN06-135,CN06-122,CN06-M15
CN06-137,CN06-023,CN06-002
CN06-138,CN06-023,CN06-002
CN06-140,CN06-023,CN06-002
CN06-141,CN06-011,CN06-015
CN06-165,CN06-071,CN06-M13
CN06-167,CN06-071,CN06-M13
CN06-169,CN06-071,CN06-058
CN06-172,CN06-050,CN06-085
CN06-175,CN06-094,CN06-M5
CN06-180,CN06-094,CN06-M12
CN06-181,CN06-083,NA
CN06-184,CN06-050,CN06-085
CN06-186,CN06-094,CN06-086
CN06-198,CN06-011,CN06-017
CN06-200,CN06-088,CN06-005
CN06-201,CN06-088,CN06-005
CN06-211,CN06-050,CN06-037
CN06-215,CN06-050,CN06-037
CN07-008,CN06-025,CN06-207
CN07-009,CN07-110,CN06-207
CN07-010,CN06-025,CN06-207
CN07-015,CN06-164,CN07-M2
CN07-016,CN06-214,CN07-013
CN07-017,CN06-214,CN07-013
CN07-023,CN06-094,CN06-086
CN07-026,CN06-119,CN06-207
CN07-028,CN06-119,CN06-207
CN07-030,CN06-171,CN07-013
CN07-035,CN06-192,CN07-M4
CN07-036,CN06-110,CN06-055
CN07-037,CN06-050,CN07-012
CN07-039,CN06-050,CN06-055
CN07-044,CN06-116,CN07-013
CN07-047,CN07-110,CN06-207
CN07-048,CN06-089,CN06-087
CN07-050,CN06-157,CN06-179
CN07-051,CN07-024,CN06-128
CN07-052,CN07-004,CN06-159
CN07-053,CN07-004,CN06-159
CN07-057,CN07-046,CN06-179
CN07-060,CN06-109,CN06-055
CN07-062,CN06-154,CN07-001
CN07-065,CN06-192,CN07-M4
CN07-067,CN06-187,CN07-M6
CN07-071,CN06-147,CN07-013
CN07-072,CN06-171,CN07-014
CN07-073,CN06-164,CN07-M2
CN07-077,CN06-110,CN06-055
CN07-078,CN06-110,CN06-055
CN07-080,CN06-059,CN07-012
CN07-081,CN06-171,CN07-014
CN07-082,CN06-164,CN07-014
CN07-086,CN06-157,CN06-179
CN07-087,CN07-046,CN06-065
CN07-088,CN06-089,CN06-027
CN07-089,CN07-004,CN07-054
CN07-091,CN06-092,CN07-054
CN07-095,CN06-089,CN06-179
CN07-096,CN06-110,CN06-055
CN07-097,CN06-025,CN06-065
CN07-099,CN06-136,CN07-M8
CN07-100,CN06-007,CN07-M8
CN07-101,CN06-154,CN07-002
CN07-102,CN06-154,CN07-002
CN07-103,CN06-154,CN07-001
CN07-106,CN06-116,CN06-065
CN07-107,CN07-046,CN07-128
CN07-108,CN06-116,CN06-065
CN07-109,CN06-119,CN06-065
CN07-113,CN06-147,CN07-002
CN07-114,CN06-147,CN07-018
CN07-116,CN06-187,CN07-M6
CN07-117,CN06-187,CN07-M6
CN07-119,CN06-222,CN07-033
CN07-122,CN06-050,CN06-106
CN07-124,CN06-059,CN06-106
CN07-125,CN06-059,CN07-M4
CN07-126,CN06-104,CN07-018
CN07-130,CN06-164,CN07-002
CN07-131,CN06-050,CN07-012
CN07-132,CN06-050,CN07-012
CN07-135,CN06-050,CN06-106
CN07-136,CN06-059,CN07-012
CN07-137,CN06-059,CN07-012
CN07-138,CN06-147,CN07-014
CN07-140,CN06-089,CN07-M10
CN07-141,CN06-089,CN06-027
CN07-142,CN06-116,CN06-065
CN07-143,CN06-036,CN06-054
CN07-145,CN07-110,CN06-179
CN07-148,CN06-157,CN06-179
CN07-149,CN06-157,CN06-179
CN07-151,CN06-089,CN07-128
CN07-157,CN06-136,CN07-054
CN07-160,CN06-119,CN06-179
CN07-166,CN06-136,CN07-128
CN07-169,CN06-116,CN07-013
CN07-170,CN06-116,CN06-179
CN07-173,CN06-154,CN06-128
CN07-175,CN06-154,CN06-128
CN07-178,CN06-192,CN07-M4
CN07-180,CN06-116,CN06-065
CN07-183,CN06-222,CN07-033
CN07-185,CN06-050,CN07-012
CN07-186,CN06-188,CN07-012
CN07-187,CN06-147,CN07-018
CN07-F3,CN06-080,CN06-058
CN08-003,CN07-024,NA
CN08-004,CN06-089,CN06-027
CN08-005,CN07-004,CN07-054
CN08-009,CN06-025,CN06-065
CN08-015,CN06-071,CN07-012
CN08-016,NA,CN06-106
CN08-017,CN06-089,CN07-154
CN08-018,CN07-024,NA
CN08-025,CN06-187,CN08-027
CN08-032,CN07-043,CN07-M10
CN08-043,CN07-004,CN06-159
CN08-044,CN07-004,CN06-159
CN08-080,CN06-187,CN08-M5
CN08-097,CN07-004,CN06-065
CN08-103,CN07-043,CN07-002
CN08-104,CN08-F5,CN08-011
CN08-M2,CN06-050,CN07-012
CN09-003,CN08-F5,CN08-011
CN09-036,CN06-157,CN07-084
CN09-102,NA,CN08-011
CN09-M3,CN08-099,NA
CN10-009,NA,CN08-108
CN10-026,NA,CN08-001
CN10-043,CN09-129,CN10-010
CN11-013,NA,CN10-010
CN12-015,NA,CN11-015
CN12-019,CN12-002,CN11-036
CN12-024,NA,CN11-015
CN12-047,CN12-004,CN12-011
CN13-002,CN12-004,CN12-011
CN13-055,CN12-004,CN12-011
CN13-080,CN13-022,CN13-019
CN14-021,NA,CN13-017
CN14-048,CN13-015,NA
CN14-088,CN13-015,CN14-M5
CN15-007,CN14-003,CN13-041
CN15-038,CN15-036,CN14-098
CN15-058,CN15-036,CN15-M8
CN16-021,CN15-F4,CN14-062
CN16-025,CN15-F7,CN15-053
CN16-048,NA,CN16-007
CN16-052,CN15-036,CN15-M9
CN07-019,CN06-175,CN06-169
CN07-020,CN06-175,CN06-169
CN07-027,CN07-F1,CN06-124
CN07-032,CN07-F3,CN06-215
CN07-038,CN06-182,CN06-169
CN07-040,CN06-182,CN06-169
CN07-068,CN06-222,CN06-169
CN07-069,CN07-F3,CN06-215
CN07-079,CN06-184,CN06-055
CN07-093,CN07-007,CN06-124
CN07-094,CN07-007,CN06-124
CN07-098,CN07-007,CN06-124
CN07-112,CN07-026,CN06-179
CN07-120,CN06-180,CN06-048
CN07-121,CN07-031,CN06-215
CN07-123,CN06-182,CN06-215
CN07-133,CN06-182,CN06-169
CN07-134,CN06-182,CN06-215
CN07-153,CN06-007,CN06-124
CN07-158,CN07-007,CN06-124
